,tokenId,name,description,url,attributes,recipient,contract
0,9,Boombox BTCPizzaNFT #9,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/9.png,"[{'trait_type': 'background', 'value': 'Background grasshopper'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin orange'}]",SPE8FA999JNSKGGHN3FAGH8BZKPR1A00XGMKAPM8,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
1,8,Boombox BTCPizzaNFT #8,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/8.png,"[{'trait_type': 'background', 'value': 'Background ocean'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom purple'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP216YJTD76S81ZXKVHEBTJT77PSVR33AZ57548V3,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
2,7,Boombox BTCPizzaNFT #7,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/7.png,"[{'trait_type': 'background', 'value': 'Background bluesky'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni green onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin orange'}]",SP2GBS7FD3WC542HZRJZ0ACSVVC136ZYM74EMKJAM,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
3,6,Boombox BTCPizzaNFT #6,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/6.png,"[{'trait_type': 'background', 'value': 'Background grasshopper'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni red onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP2DFX28F1S3CB46B5XH9M5JQ7N4SMCE7CQY1TNYS,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
4,5,Boombox BTCPizzaNFT #5,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/5.png,"[{'trait_type': 'background', 'value': 'Background ocean'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom purple'}, {'trait_type': 'pepperoni', 'value': 'pepperoni anchovies'}, {'trait_type': 'bitcoin', 'value': 'bitcoin red'}]",SP2SSHB97XMYR9PH62VKN3369EFA1G1EJH8Y0RKT0,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
5,4,Boombox BTCPizzaNFT #4,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/4.png,"[{'trait_type': 'background', 'value': 'Background ocean'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin orange'}]",SP3DADFZ5M352BV2XZY1RSPV307QH0JPKKEQMFAP3,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
6,32,Boombox BTCPizzaNFT #32,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/32.png,"[{'trait_type': 'background', 'value': 'Background CityPack'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni red onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin black'}]",SP25EV6W08DK6TGMC7ENRYWQC2DP61XV6BBMVA02E,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
7,31,Boombox BTCPizzaNFT #31,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/31.png,"[{'trait_type': 'background', 'value': 'Background blue'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom purple'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP24SEFZTNWQBC205YC1W44RW03W0SRN418NZ80CF,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
8,30,Boombox BTCPizzaNFT #30,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/30.png,"[{'trait_type': 'background', 'value': 'Background grasshopper'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin highlighter'}]",SP66GN64A2BKD4Y1TJBJ21SJP90WE21ZRGZH4ZR6,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
9,3,Boombox BTCPizzaNFT #3,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/3.png,"[{'trait_type': 'background', 'value': 'Background supersun'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP7Y12ZS1J1B25MH4W9TN7K35WSFBH6B0ESR3418,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
10,29,Boombox BTCPizzaNFT #29,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/29.png,"[{'trait_type': 'background', 'value': 'Background ocean'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin blue'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP3S25JE324ZY8G3JS7T983V0KQV14RBRZZNEGPPR,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
11,28,Boombox BTCPizzaNFT #28,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/28.png,"[{'trait_type': 'background', 'value': 'Background ocean'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin blue'}, {'trait_type': 'pepperoni', 'value': 'pepperoni green onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin orange'}]",SP3FQWCHEE92TCD1AVJEHP4W9KEW7QCFMT89YYWJP,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
12,27,Boombox BTCPizzaNFT #27,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/27.png,"[{'trait_type': 'background', 'value': 'Background bluesky'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni green onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin red'}]",SPHSJ8X8NM1B59FRR9H643J93TC8G75F3TGWNRJ1,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
13,26,Boombox BTCPizzaNFT #26,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/26.png,"[{'trait_type': 'background', 'value': 'Background supersun'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom purple'}, {'trait_type': 'pepperoni', 'value': 'pepperoni red onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin highlighter'}]",SP379GBZ6DS4XJVEJY4R8FDGT1DK2BREHSBTFM7BP,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
14,25,Boombox BTCPizzaNFT #25,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/25.png,"[{'trait_type': 'background', 'value': 'Background supersun'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom green'}, {'trait_type': 'pepperoni', 'value': 'pepperoni anchovies'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP3ET3TVWN5K9MH6CSAP3JK1B3BYS9GB16KKWSAMJ,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
15,24,Boombox BTCPizzaNFT #24,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/24.png,"[{'trait_type': 'background', 'value': 'Background ocean'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni red onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP2B4SYS3A7Z2ZZ2EP4RH9M477A59V6DFT4WG2KEM,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
16,23,Boombox BTCPizzaNFT #23,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/23.png,"[{'trait_type': 'background', 'value': 'Background supersun'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni green onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP3N0TH3N7BDG4WBSYV6FE2ASSAPEGWK47EEWD9TV,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
17,22,Boombox BTCPizzaNFT #22,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/22.png,"[{'trait_type': 'background', 'value': 'Background blupur'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin blue'}, {'trait_type': 'pepperoni', 'value': 'pepperoni red onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SPQ3STDA3G4Q6QD716425BE7A2G378QFQ10RJK3V,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
