,tokenId,name,description,url,attributes,recipient,contract
0,9,Boombox BTCPizzaNFT #9,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/9.png,"[{'trait_type': 'background', 'value': 'Background grasshopper'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin orange'}]",SPE8FA999JNSKGGHN3FAGH8BZKPR1A00XGMKAPM8,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
1,8,Boombox BTCPizzaNFT #8,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/8.png,"[{'trait_type': 'background', 'value': 'Background ocean'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom purple'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP216YJTD76S81ZXKVHEBTJT77PSVR33AZ57548V3,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
2,7,Boombox BTCPizzaNFT #7,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/7.png,"[{'trait_type': 'background', 'value': 'Background bluesky'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni green onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin orange'}]",SP2GBS7FD3WC542HZRJZ0ACSVVC136ZYM74EMKJAM,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
3,6,Boombox BTCPizzaNFT #6,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/6.png,"[{'trait_type': 'background', 'value': 'Background grasshopper'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni red onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP2DFX28F1S3CB46B5XH9M5JQ7N4SMCE7CQY1TNYS,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
4,5,Boombox BTCPizzaNFT #5,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/5.png,"[{'trait_type': 'background', 'value': 'Background ocean'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom purple'}, {'trait_type': 'pepperoni', 'value': 'pepperoni anchovies'}, {'trait_type': 'bitcoin', 'value': 'bitcoin red'}]",SP2SSHB97XMYR9PH62VKN3369EFA1G1EJH8Y0RKT0,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
5,4,Boombox BTCPizzaNFT #4,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/4.png,"[{'trait_type': 'background', 'value': 'Background ocean'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin orange'}]",SP3DADFZ5M352BV2XZY1RSPV307QH0JPKKEQMFAP3,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
6,3,Boombox BTCPizzaNFT #3,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/3.png,"[{'trait_type': 'background', 'value': 'Background supersun'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP7Y12ZS1J1B25MH4W9TN7K35WSFBH6B0ESR3418,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
7,2,Boombox BTCPizzaNFT #2,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/2.png,"[{'trait_type': 'background', 'value': 'Background grasshopper'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni sausage'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP3KKBF6BSVPJ8KH55W5R3RWZ6HA7FC5BVV8205A5,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
8,12,Boombox BTCPizzaNFT #12,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/12.png,"[{'trait_type': 'background', 'value': 'Background supersun'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin blue'}, {'trait_type': 'pepperoni', 'value': 'pepperoni red onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin red'}]",SPV48Q8E5WP4TCQ63E9TV6KF9R4HP01Z8WS3FBTG,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
9,11,Boombox BTCPizzaNFT #11,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/11.png,"[{'trait_type': 'background', 'value': 'Background bluesky'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni green onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin white'}]",SP1KWSX2WQP7BMVPAS3ZE1T1K45KGM97WA7SZX356,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
10,10,Boombox BTCPizzaNFT #10,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/10.png,"[{'trait_type': 'background', 'value': 'Background blue'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni red onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin black'}]",SP1HJZE02RCQMJCA35CPT8PEZS7Q7KSX2CF37XCG6,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
11,1,Boombox BTCPizzaNFT #1,Boombox Bitcoin Pizza NFT collection 2022,ipfs://QmNNaFzJ3HSBui4MjW4xWw21Mr82qsL2Yd5NBzNZLufj16/1.png,"[{'trait_type': 'background', 'value': 'Background blue'}, {'trait_type': 'pizzabox', 'value': 'pizza'}, {'trait_type': 'boombox', 'value': 'boom bitcoin orange'}, {'trait_type': 'pepperoni', 'value': 'pepperoni red onion'}, {'trait_type': 'bitcoin', 'value': 'bitcoin red'}]",SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW,SP1QK1AZ24R132C0D84EEQ8Y2JDHARDR58R72E1ZW.boomboxes-cycle-34
12,2,Memoria Shards #2,"Welcome to Memoria Shard Collection.

Where our friends must recall memory shards from far away to complete the infinite adventure...",ipfs://ipfs/Qmcq6XqynJNjAKNqxVnGuquL6wmtWUFVgQiLXnu7TpyHiV/images/1.png,"[{'trait': 'Background', 'value': 'Young Pirate King'}, {'trait': 'Face', 'value': 'Young Pirate King'}, {'trait': 'Clothes', 'value': 'Young Pirate King'}, {'trait': 'Eyes', 'value': 'Young Pirate King'}, {'trait': 'Hair', 'value': 'Young Pirate King'}, {'trait': 'Mouth', 'value': 'Young Pirate King'}, {'trait': 'Frame', 'value': 'Young Pirate King'}]",SP343YE24XQE8J72NQ142PD53B77RQ53J5C0WCVNB,SP2CNNPBW935DFQ2CVT2H97S3XZAPA41EHSKM7NQH.memoria-shards
13,1,Memoria Shards #1,"Welcome to Memoria Shard Collection.

Where our friends must recall memory shards from far away to complete the infinite adventure...",ipfs://ipfs/Qmcq6XqynJNjAKNqxVnGuquL6wmtWUFVgQiLXnu7TpyHiV/images/0.png,"[{'trait': 'Background', 'value': 'The Genesis Crystal'}, {'trait': 'Face', 'value': 'The Genesis Crystal'}, {'trait': 'Clothes', 'value': 'The Genesis Crystal'}, {'trait': 'Eyes', 'value': 'The Genesis Crystal'}, {'trait': 'Hair', 'value': 'The Genesis Crystal'}, {'trait': 'Mouth', 'value': 'The Genesis Crystal'}, {'trait': 'Frame', 'value': 'The Genesis Crystal'}]",SP293M874EPBS7H5EFF1DYAR3P5V1CNKVPK78GXG3,SP2CNNPBW935DFQ2CVT2H97S3XZAPA41EHSKM7NQH.memoria-shards
14,1,You are Human,"""Sketchbook"" is a collection of original designs, concepts, and sketches made by Alexander. All works are 1/1 but many are experimental and sometimes represent early expressions of future, more extensive collections. All images are code generated.

New releases every sometimes.",ipfs://ipfs/Qma3yF1tAng3Qhd9uGGmuB5nkzmAE4aEbGnSv6Spn2Qf2G/images/You%20are%20Human.png,"[{'trait': 'Trait', 'value': 'barcodes'}, {'trait': 'Trait', 'value': 'base16'}, {'trait': 'Trait', 'value': '11x17'}]",SP24ZBZ8ZE6F48JE9G3F3HRTG9FK7E2H6K2QZ3Q1K,SP3ZMEFW7VH796ZQAH1JMAJT4WC4VPEZZFB6W5CAD.sketchbook
15,3,Nandi Sisters #3,"Nandi sisters is the 4th and last solo collection which fits into the Afro-Verse vision.

Whitelist = African Royalty, African Queen Mother, and Afro King holders

Mint price for whitelist = 10 STX (2 pieces per wallet)
Public = 15 STX
Airdrop = 11 pieces
Dev team = 10 pieces

When we started this journey the aim was to just create art with the release of 5 1/1 African Royalty (Paying homage to South African tribal kings). 
Next on the line was African Queen Mother, a 50 pieces collection celebrating the queens of Africa with a modern twist.
This was followed by Afro Kings, which was a 5 STX collection we did overnight.

Up until here, there was a huge problem. We liked creating art but there was no utility. Upon investigating different ideas from an African digital library to games we decided the optimal first step to bring utility would be to release a game that combines all these collections with intriguing storytelling. We then expanded our team to 3 people and started learning code (which we still are).
The ETA on the game as some development work is outsourced is the end of June. However, in between that time, we will launch free 3D variants for every piece of African Queen Mother, African Royalty, Afro King, and Nandi Sisters

This is our road to utility and we are here to stay",ipfs://ipfs/Qma7SY8NZcRivFUQjFCfRRc9tC3CrPb5Qmx2DQpUKGRqto/images/3.png,"[{'trait': 'Background', 'value': 'Red Waves'}, {'trait': 'Body', 'value': 'Maroon'}, {'trait': 'Outfit', 'value': 'Orange Hoodie'}, {'trait': 'Nose', 'value': 'Nose ring'}, {'trait': 'Eyes', 'value': 'Sky'}, {'trait': 'Head', 'value': 'Pink'}, {'trait': 'Mouth', 'value': 'Normal'}]",SP27E3TDKYNH3C11RBDFPD5WGR6FV0VN08RKX4D2N,SP229FR0MTFR0PX83YS9P5KEHAFPPKTXPG04RKP7T.nandi-sisters
